GPV;PDV;Activadas FTTH;Activadas Móvil
JENI;ACBUSSINESSPAIN_CRUSERTEL;1;3
JUANLU;ACCI_CRUSERTEL;3;9
JUANLU;AFI_CRUSERTEL;0;2
SARAY;ALBERTOALMERIA_CRUSERTEL;2;12
SARAY;ALEXANDRA_CRUSERTEL;0;1
JUANLU;ALHERA_CRUSERTEL;0;1
JUANLU;ALMOBILE_CRUSERTEL;1;1
JENI;ALTAIDCARTAMA_CRUSERTEL;2;7
MAR;AMANI5G_CRUSERTEL;0;1
JUANLU;ANAISOFT_CRUSERTEL;41;87
JUANLU;ANGELFDZ_CRUSERTEL;7;15
MAR;AP47UBEDA_CRUSERTEL;0;1
JUANLU;AQUIREPARAN_CRUSERTEL;0;2
JENI;ASISTELCOM_CRUSERTEL;0;2
MAR;BACOCO_CRUSERTEL;5;12
MAR;BAEZAPHONE_CRUSERTEL;0;1
SARAY;BATCH_CRUSERTEL;0;3
MAR;BLACKMOBILE_CRUSERTEL;0;1
MAR;BLACKYPHONE_CRUSERTEL;1;3
SARAY;BRIKASESORES_CRUSERTEL;0;1
SARAY;BTTEL_CRUSERTEL;45;99
MAR;BUMPER_CRUSERTEL;1;3
SARAY;CALLME_CRUSERTEL;4;5
SARAY;CARACOLES_CRUSERTEL;1;2
MAR;CASAJUSTO_CRUSERTEL;1;0
SARAY;CELUMOVIL_CRUSERTEL;3;5
SARAY;CGMFIBRA_CRUSERTEL;0;1
SARAY;CIBERMULTILENGUA_CRUSERTEL;1;2
JUANLU;CLIENTEL_CRUSERTEL;3;3
JUANLU;CLINICASPC_CRUSERTEL;0;1
JUANLU;COMERCIALMORENO_CRUSERTEL;4;6
JUANLU;COMPUTER_CRUSERTEL;2;5
JUANLU;COMPUTERPINO_CRUSERTEL;1;6
JENI;CONECTA2_CRUSERTEL;0;1
SARAY;CONECTAMOS_CRUSERTEL;2;4
SARAY;CYBERPUCHE_CRUSERTEL;2;9
JENI;DRISS_CRUSERTEL;4;9
MAR;DRNO_CRUSERTEL;1;6
JENI;DYNOSCASTELL_CRUSERTEL;9;25
MAR;ECOTONER_CRUSERTEL;1;2
JUANLU;ELECTROHOGAR_CRUSERTEL;0;2
JUANLU;ELECTRONICALARA_CRUSERTEL;5;16
JENI;ELECTRONICASJUANXO_CRUSERTEL;0;1
SARAY;ELIASPHONE_CRUSERTEL;0;1
JUANLU;ENTELPHONE_CRUSERTEL;0;1
JUANLU;ESCAPEDIGITAL_CRUSERTEL;0;1
SARAY;ESPALEM_CRUSERTEL;11;18
MAR;ESPC0190;22;41
MAR;FERRETERIA_CRUSERTEL;0;2
JUANLU;FIBRALOWCOST_CRUSERTEL;1;3
MAR;FOTOCOLOR_CRUSERTEL;2;5
JENI;FUSION_CRUSERTEL;2;5
MAR;FUTURE_CRUSERTEL;1;2
JUANLU;GAG_CRUSERTEL;0;1
JUANLU;GALOPO_CRUSERTEL;2;9
JENI;GMS_CRUSERTEL;0;1
MAR;GNTELBIS_CRUSERTEL;11;27
MAR;HABLAMOVIL_CRUSERTEL;0;3
MAR;HELVETIAHUESA_CRUSERTEL;1;4
MAR;HIMOVIL_CRUSERTEL;0;4
MAR;HM_CRUSERTEL;4;7
JENI;HOLAMOBI_CRUSERTEL;5;10
JENI;IGUANATEL_CRUSERTEL;0;6
SARAY;ILUSIONES_CRUSERTEL;14;47
SARAY;INDALPHONEHUERCAL_CRUSERTEL;0;2
SARAY;INFOMOBILE_CRUSERTEL;5;18
JUANLU;INFORDAYBAZA_CRUSERTEL;1;2
MAR;INFORJUANJE_CRUSERTEL;1;4
JENI;INFORMATICAADRI_CRUSERTEL;1;2
MAR;INFORMATICALAPUERTA_CRUSERTEL;1;4
MAR;INNOVA_CRUSERTEL;2;2
JENI;INTERTEL_CRUSERTEL;5;9
JUANLU;IPHONEREPAR_CRUSERTEL;3;10
JUANLU;IZAREM_CRUSERTEL;3;5
MAR;JAPLAZA_CRUSERTEL;19;98
JENI;JMB_CRUSERTEL;1;2
JUANLU;JMTELECOMUNICACIONES_CRUSERTEL;28;64
JUANLU;JUDTIH_CRUSERTEL;2;3
JENI;LEDESMA_CRUSERTEL;2;4
MAR;LINAMOVILES_CRUSERTEL;2;3
JENI;LOCUTORIO.COM_CRUSERTEL;0;1
JUANLU;LOUMOVIL_CRUSERTEL;3;8
JENI;LUDMILA_CRUSERTEL;4;10
SARAY;MAGICHOUSE_CRUSERTEL;1;4
SARAY;MAGINAPHONE_CRUSERTEL;0;2
JENI;MAK_CRUSERTEL;0;1
JENI;MARIANO_CRUSERTEL;6;7
MAR;MARKETER_CRUSERTEL;2;4
JENI;MASMEGAS_CRUSERTEL;8;28
JENI;MBI_CRUSERTEL;47;93
JUANLU;MEGUSTATECNOLOGIA_CRUSERTEL;2;18
JENI;MIFI_CRUSERTEL;3;10
SARAY;MIGUELANGEL_CRUSERTEL;1;1
JENI;MIRAN_CRUSERTEL;0;1
SARAY;MORATEC_CRUSERTEL;38;83
SARAY;MOVILANDIA_CRUSERTEL;0;1
MAR;MOVILANDJAEN_CRUSERTEL;2;4
JENI;MOVILCENTERBONELA_CRUSERTEL;3;9
SARAY;MSMADRA_CRUSERTEL;31;63
JENI;MUNDOMATICA_CRUSERTEL;0;1
JENI;NACHOS_CRUSERTEL;0;1
SARAY;NEUTRON_CRUSERTEL;2;4
JUANLU;NEVADAPHONE_CRUSERTEL;0;2
JENI;OCIOFRANJU_CRUSERTEL;2;3
JUANLU;ONEXION_CRUSERTEL;0;1
JENI;OVERKLOK_CRUSERTEL;1;1
JUANLU;PALOMINO_CRUSERTEL;1;1
SARAY;PCARDENAS_CRUSERTEL;0;1
MAR;PCGO_CRUSERTEL;2;3
SARAY;PHONIKA_CRUSERTEL;1;3
MAR;PUNTOJOVEN_CRUSERTEL;1;5
JENI;QSSOLUCIONES_CRUSERTEL;1;1
MAR;QUINIMOBILE_CRUSERTEL;0;1
JUANLU;RACRU_CRUSERTEL;8;15
JENI;RAMBO2_CRUSERTEL;0;1
JUANLU;RAPIDMOVIL_CRUSERTEL;1;1
MAR;REPARAMOVIL_CRUSERTEL;2;6
MAR;SGI_CRUSERTEL;4;7
SARAY;SILCASOF_CRUSERTEL;0;2
JENI;SILVIACOMPETA_CRUSERTEL;3;12
JENI;SKY_CRUSERTEL;1;2
SARAY;SMARTPHONEHUERCAL_CRUSERTEL;0;1
JUANLU;SOLOPANTE_CRUSERTEL;0;1
SARAY;SORVILAN_CRUSERTEL;1;3
MAR;STIPMOVIL_CRUSERTEL;2;3
JENI;STRONG_CRUSERTEL;1;6
JENI;STS_CRUSERTEL;110;233
JENI;SURMOBILE_CRUSERTEL;46;92
MAR;TECNOMARTINEZ_CRUSERTEL;3;8
JUANLU;TECNOSECOND_CRUSERTEL;1;5
MAR;TELBEA_CRUSERTEL;67;146
JENI;THEBLACKPHONE_CRUSERTEL;0;13
